Right Collar Abduction;Right Collar Internal;Right Shoulder Abduction;Right Shoulder Internal;Right Shoulder Flexion;Right Elbow Pronation;Right Elbow Flexion;Right Wrist Ulnar;Right Wrist Flexion;Right Hip Flexion;Right Knee Flexion;Right Ankle Dorsiflexion;Left Collar Abduction;Left Collar Internal;Left Shoulder Abduction;Left Shoulder Internal;Left Shoulder Flexion;Left Elbow Pronation;Left Elbow Flexion;Left Wrist Ulnar;Left Wrist Flexion;Left Hip Flexion;Left Knee Flexion;Left Ankle Dorsiflexion;Right Pelvis X;Right Pelvis Y;Right Pelvis Z;Right Pelvis Q0;Right Pelvis Q1;Right Pelvis Q2;Right Pelvis Q3;Left Pelvis X;Left Pelvis Y;Left Pelvis Z;Left Pelvis Q0;Left Pelvis Q1;Left Pelvis Q2;Left Pelvis Q3;RLeft Collar Abduction;RLeft Collar Internal;RLeft Shoulder Abduction;RLeft Shoulder Internal;RLeft Shoulder Flexion;RLeft Elbow Pronation;RLeft Elbow Flexion;RLeft Wrist Ulnar;RLeft Wrist Flexion;RLeft Hip Flexion;RLeft Knee Flexion;RLeft Ankle Dorsiflexion;LRight Collar Abduction;LRight Collar Internal;LRight Shoulder Abduction;LRight Shoulder Internal;LRight Shoulder Flexion;LRight Elbow Pronation;LRight Elbow Flexion;LRight Wrist Ulnar;LRight Wrist Flexion;LRight Hip Flexion;LRight Knee Flexion;LRight Ankle Dorsiflexion
-5,285062458;1,011295116;10,53977247;45,11346837;72,83894046;114,7223721;22,325502;-7,663141937;-4,669857981;44,42036923;72,47915906;-2,422688103;-6,421646559;-0,677452611;10,30349311;35,13719978;68,19516889;113,8369547;22,33156382;0,004006453;-5,299019505;42,94908208;73,51924454;0,798114069;-0,097930388;-0,250869422;0,378572727;0,681017771;0,164896217;-0,189121068;0,677006216;-0,115154083;-0,244537954;0,383957435;0,697659975;0,167574903;-0,19920473;0,65598066;-6,549569233;0,202667869;-1,8937609;45,79589549;70,90628283;108,7959599;-3,82714206;-2,958956271;-0,011419302;45,0560806;74,92452717;1,10263057;-4,074798278;0,272070712;4,657895838;49,96895561;73,65319711;119,0819179;1,621404432;-9,222482384;-1,849247233;42,40466176;71,46748423;-2,523159616
-5,28344352;1,010380588;10,5658089;45,07780477;72,8170224;114,5696327;22,44769384;-7,639904366;-4,70924815;44,41974352;72,47883787;-2,422932307;-6,422654759;-0,675985288;10,32471235;35,10594778;68,17905356;113,7288502;22,43000604;0,028763896;-5,325101904;42,94900021;73,51940705;0,79797929;-0,097930357;-0,2508717;0,378573397;0,681016661;0,164901111;-0,189123911;0,677005838;-0,115155127;-0,244543485;0,383950761;0,697657938;0,167578515;-0,199208884;0,655980594;-6,551636516;0,202332727;-1,888592862;45,7921659;70,9071439;108,7961549;-3,829600258;-2,959528943;-0,011194203;45,05502902;74,92363527;1,10294355;-4,0777228;0,268939702;4,663425646;49,96697044;73,65412021;119,0809274;1,622121179;-9,222315767;-1,849595121;42,40383266;71,46732525;-2,523227197
-5,281899273;1,009320486;10,59273705;45,04037805;72,79439403;114,4123732;22,57509105;-7,616323541;-4,749335933;44,41908306;72,4784565;-2,423178165;-6,423819292;-0,674970412;10,34723418;35,07272581;68,16138511;113,6116367;22,53412395;0,053760211;-5,351296504;42,94801559;73,51898547;0,797919617;-0,097929953;-0,250874094;0,378574149;0,681015638;0,164906234;-0,189126548;0,677005365;-0,115155877;-0,244548048;0,38394597;0,697656348;0,167585143;-0,199215839;0,655979905;-6,553692415;0,202020211;-1,883258696;45,78811442;70,90796612;108,7966696;-3,8318376;-2,96002671;-0,0109166;45,05397037;74,92271897;1,103268913;-4,080591674;0,266185414;4,669105738;49,96441735;73,65498384;119,0799762;1,622229584;-9,221804471;-1,850064538;42,40218;71,46664551;-2,523210355
-5,280341361;1,008261085;10,6206971;44,99980027;72,7708923;114,2485269;22,70900893;-7,59251095;-4,791461232;44,41811344;72,47788332;-2,423462468;-6,42487918;-0,67393752;10,37092153;35,03818261;68,14282138;113,4874348;22,64325357;0,078696543;-5,377413062;42,94689861;73,51844212;0,797808195;-0,097929094;-0,250876507;0,378575264;0,681014367;0,164912552;-0,189130108;0,677004608;-0,115156896;-0,244552524;0,383941409;0,697654488;0,167591486;-0,199223691;0,655979257;-6,555596153;0,201602039;-1,877708292;45,78341373;70,90881176;108,7974673;-3,833984795;-2,960338587;-0,010568482;45,05264112;74,92166803;1,103587918;-4,083635642;0,263667629;4,675294749;49,96166483;73,65597125;119,0787779;1,622164433;-9,221211224;-1,850658662;42,40037203;71,46595047;-2,52323665
-5,278699411;1,00721648;10,64998168;44,95565225;72,7461477;114,0791519;22,84900179;-7,567942524;-4,834220821;44,41673727;72,47713028;-2,423730941;-6,425885103;-0,672575369;10,39632135;35,00140164;68,12341432;113,3534587;22,75885752;0,103565823;-5,40373724;42,94571405;73,51785283;0,797664273;-0,097927827;-0,250879017;0,378576753;0,681013044;0,164920694;-0,189135069;0,677003288;-0,115158247;-0,244557038;0,38393681;0,697652327;0,167597663;-0,199232517;0,655978811;-6,55740896;0,201078577;-1,872051517;45,77847939;70,9095061;108,7978662;-3,83626016;-2,960492613;-0,010341343;45,05090856;74,92040377;1,10384678;-4,086730297;0,261086487;4,681534633;49,95881493;73,6565471;119,077202;1,6219197;-9,220507382;-1,851318102;42,39901088;71,46538358;-2,523453128
-5,277160993;1,006012632;10,68081161;44,90859537;72,72000533;113,9044598;22,99530718;-7,542875653;-4,878665043;44,4153689;72,47625637;-2,424016131;-6,426915772;-0,671091101;10,42262948;34,96319965;68,10292915;113,2139916;22,87907936;0,12924566;-5,430943108;42,94451089;73,51734088;0,797564588;-0,097926504;-0,250881428;0,378578362;0,681012059;0,164927811;-0,18913872;0,677002153;-0,115159824;-0,24456159;0,383932198;0,697650404;0,167604313;-0,199241641;0,65597799;-6,558818647;0,200652532;-1,865885985;45,77295079;70,91039412;108,7982794;-3,838327854;-2,960438976;-0,010185563;45,04936951;74,91920565;1,10351836;-4,090023446;0,258381285;4,687789534;49,9557805;73,6570257;119,0757082;1,621572202;-9,219875164;-1,851903835;42,39767544;71,46480287;-2,523657956
-5,275521798;1,004968189;10,71316017;44,86007226;72,69282444;113,723292;23,14833435;-7,517800135;-4,924111314;44,41416671;72,47542802;-2,424367749;-6,428086049;-0,669439327;10,44978103;34,92324387;68,08056106;113,0662365;23,00581173;0,155397262;-5,458966926;42,94391121;73,51728531;0,797423158;-0,097925032;-0,250884001;0,378580176;0,681010967;0,164933724;-0,189141956;0,677001251;-0,115161952;-0,244566144;0,383927411;0,697648242;0,167608519;-0,199248062;0,655977714;-6,560462511;0,200278353;-1,859331424;45,76746858;70,9114619;108,7981937;-3,840307698;-2,960015292;-0,010198515;45,04790812;74,91790162;1,103409266;-4,093372761;0,255436928;4,694136345;49,95244652;73,65740549;119,0743829;1,621347625;-9,219667417;-1,852215936;42,39696828;71,46460123;-2,523878671
-5,273831348;1,003606242;10,74715904;44,80890066;72,66459186;113,53063;23,30881739;-7,491079562;-4,971608791;44,41302936;72,47460502;-2,42475032;-6,42933192;-0,667578674;10,47783166;34,88270537;68,05702792;112,9118634;23,13729969;0,181568525;-5,487768226;42,94344469;73,51727152;0,797245004;-0,097923119;-0,250886837;0,378582101;0,681010172;0,164939588;-0,189145075;0,677000017;-0,11516461;-0,244569899;0,383923467;0,69764604;0,167612028;-0,199254136;0,655977642;-6,562068186;0,199911556;-1,852577008;45,76243734;70,91245966;108,7972544;-3,842263483;-2,959303828;-0,010453072;45,04649945;74,91656507;1,103288202;-4,096717317;0,252280099;4,70025605;49,94879738;73,65777405;119,0731387;1,620797404;-9,219450747;-1,852638034;42,39639061;71,46443718;-2,524140437
-5,272179457;1,001967449;10,78249537;44,75572001;72,63518345;113,3321716;23,47689463;-7,46366454;-5,020219976;44,41197747;72,47380383;-2,425113535;-6,430459119;-0,66552522;10,50694131;34,84145825;68,03251486;112,7476181;23,27489509;0,207974608;-5,515909555;42,94277724;73,5172097;0,797039514;-0,097920905;-0,250889748;0,378583983;0,681009947;0,164945688;-0,189147514;0,676998306;-0,115167665;-0,244573187;0,383920002;0,697644067;0,167616225;-0,199260834;0,655977313;-6,563557614;0,199523486;-1,845572724;45,7578371;70,91335282;108,7958183;-3,844441325;-2,958600233;-0,010671472;45,0451692;74,91526618;1,103035497;-4,100196643;0,248905407;4,706394608;49,94514674;73,6579621;119,0716516;1,620054553;-9,21925239;-1,853059071;42,39558151;71,46415334;-2,524401141
-5,270767283;1,000154083;10,81936988;44,69991503;72,60462435;113,1282806;23,65151926;-7,435919084;-5,070263238;44,41083587;72,47290684;-2,425496105;-6,431530241;-0,663725286;10,53699868;34,79958404;68,00727646;112,5765314;23,41808579;0,235530955;-5,54389619;42,94195983;73,51711348;0,796834391;-0,097918305;-0,250892653;0,37858587;0,681010162;0,164952634;-0,189149631;0,676996058;-0,115171049;-0,244576413;0,383916591;0,697642153;0,167620952;-0,19926813;0,65597678;-6,564913271;0,198711879;-1,838339679;45,75313739;70,91420638;108,7946826;-3,846481869;-2,95821179;-0,010969792;45,04382513;74,91403937;1,102555994;-4,103768569;0,24555789;4,712821581;49,94128455;73,65793929;119,0701517;1,619242311;-9,218935442;-1,853663646;42,39452348;71,46375436;-2,524675189
