Right Shoulder Abduction;Right Shoulder Internal;Right Shoulder Flexion;Right Elbow Pronation;Right Elbow Flexion;Right Wrist Ulnar;Right Wrist Flexion;Right Hip Flexion;Right Knee Flexion;Right Ankle Dorsiflexion;Left Shoulder Abduction;Left Shoulder Internal;Left Shoulder Flexion;Left Elbow Pronation;Left Elbow Flexion;Left Wrist Ulnar;Left Wrist Flexion;Left Hip Flexion;Left Knee Flexion;Left Ankle Dorsiflexion;Right Pelvis X;Right Pelvis Y;Right Pelvis Z;Right Pelvis Q0;Right Pelvis Q1;Right Pelvis Q2;Right Pelvis Q3;Left Pelvis X;Left Pelvis Y;Left Pelvis Z;Left Pelvis Q0;Left Pelvis Q1;Left Pelvis Q2;Left Pelvis Q3
15,0533383;10,18128677;17,32044731;127,7985798;55,98998236;-7,332166526;-14,33304977;55,17605788;12,02632694;7,194342511;13,88076911;8,944911597;15,71746742;123,9802298;56,0409117;-5,068782595;-15,13947516;56,77701927;13,87278871;7,050764755;-0,117620757;-0,277038195;0,352633943;0,687656303;0,17344523;-0,183179065;0,671605584;-0,091265511;-0,283779507;0,351268625;0,666103097;0,169884598;-0,190596678;0,691648282
15,11930651;10,1031476;17,29467848;127,6914518;56,29512194;-7,319546601;-14,39334593;55,40885014;11,43617975;7,270895175;13,92186449;8,840888622;15,6710125;123,9613466;56,28650582;-5,042596403;-15,17157113;56,95541838;13,5821827;7,097060233;-0,117651386;-0,277118589;0,352560423;0,687598531;0,173371528;-0,183109125;0,67164399;-0,091234441;-0,283910858;0,351240669;0,666211021;0,169928426;-0,190469015;0,691539135
15,17619073;10,00708806;17,25732482;127,6143297;56,55996252;-7,297886995;-14,43552398;55,61741212;11,07471968;7,296170295;13,95682432;8,722045002;15,6233006;123,9472759;56,48129972;-5,017957102;-15,18081811;57,09789225;13,47551946;7,099637427;-0,117690528;-0,277192202;0,352496581;0,687556846;0,173332918;-0,183093131;0,671659444;-0,09119396;-0,284034484;0,351216413;0,666307493;0,169976239;-0,19040477;0,691437011
15,2217811;9,895238168;17,21030579;127,563575;56,78127532;-7,267950272;-14,459117;55,80539804;10,93221378;7,282563662;13,98444271;8,58948728;15,57411112;123,9335809;56,61712858;-4,991701495;-15,16540582;57,20228878;13,54721855;7,053710773;-0,117741225;-0,2772656;0,352441587;0,687541273;0,173295326;-0,183082738;0,671660836;-0,091145955;-0,284144776;0,351195384;0,666378047;0,170036502;-0,190390639;0,691357631
15,25567739;9,775940178;17,15335804;127,5380854;56,95168552;-7,23070302;-14,46499685;55,96719581;11,00621117;7,229673589;14,00374427;8,456210283;15,52671976;123,9279037;56,70572552;-4,970081111;-15,13348778;57,2738463;13,78933134;6,972526053;-0,117798427;-0,277333361;0,352394948;0,687546525;0,173273107;-0,183073957;0,671650852;-0,091098439;-0,28423964;0,351174916;0,666424917;0,170102709;-0,190417015;0,691299969
15,27608831;9,653309314;17,09030255;127,531269;57,06455734;-7,185811676;-14,45607213;56,09609476;11,26784321;7,142718333;14,01128761;8,337540597;15,48441296;123,926331;56,73189899;-4,952687131;-15,0858633;57,30395564;14,20363342;6,856489987;-0,117855865;-0,277392536;0,352357328;0,687555282;0,17325493;-0,183066722;0,671647426;-0,091048006;-0,284310712;0,351159673;0,666465527;0,17016699;-0,190473548;0,691252714
15,28158749;9,540966805;17,01956605;127,5372951;57,11699734;-7,137723894;-14,43415436;56,18814541;11,72000473;7,017392957;14,00672445;8,23510908;15,44730935;123,9385612;56,70815748;-4,940481959;-15,03200435;57,30081705;14,77634569;6,710531291;-0,117908654;-0,277441995;0,352328185;0,687570381;0,173235251;-0,1830594;0,671648736;-0,090995883;-0,284361521;0,351148065;0,666503137;0,170219207;-0,190542558;0,691216115
15,27023899;9,44848729;16,94905311;127,5653184;57,10597174;-7,094338209;-14,39767412;56,23662819;12,34380418;6,851291235;13,98631439;8,156798603;15,41610525;123,9622832;56,63414281;-4,935260356;-14,97227623;57,26242115;15,52037269;6,528070819;-0,117958705;-0,277479336;0,352309429;0,687587699;0,17322649;-0,18306989;0,671652129;-0,090944581;-0,284384634;0,351145452;0,666531475;0,1702669;-0,190633177;0,691190126
15,2459495;9,380523038;16,88082797;127,6084548;57,04045044;-7,058922804;-14,34738004;56,24811243;13,11323421;6,649527471;13,95528311;8,098879597;15,38877212;123,9937106;56,52457632;-4,938171084;-14,91001299;57,1928482;16,40049372;6,310979415;-0,118007057;-0,277508878;0,352298924;0,687603284;0,173210851;-0,183068883;0,67166806;-0,090891595;-0,284383443;0,35115177;0,666560856;0,170311797;-0,190760074;0,69116107
15,20668466;9,341078575;16,8191893;127,6804435;56,90734037;-7,03770072;-14,28020084;56,20783949;14,07143143;6,408712612;13,91138731;8,073606315;15,37351624;124,0345265;56,37949213;-4,956681189;-14,84464604;57,09037928;17,46052714;6,048768361;-0,118050558;-0,277519892;0,352303762;0,687610911;0,173227087;-0,183098895;0,671687791;-0,090835192;-0,284356094;0,351169701;0,666596907;0,170349303;-0,190914951;0,691121739
