Right Shoulder Abduction;Right Shoulder Internal;Right Shoulder Flexion;Right Elbow Pronation;Right Elbow Flexion;Right Wrist Ulnar;Right Wrist Flexion;Right Hip Flexion;Right Knee Flexion;Right Ankle Dorsiflexion;Left Shoulder Abduction;Left Shoulder Internal;Left Shoulder Flexion;Left Elbow Pronation;Left Elbow Flexion;Left Wrist Ulnar;Left Wrist Flexion;Left Hip Flexion;Left Knee Flexion;Left Ankle Dorsiflexion;Right Pelvis X;Right Pelvis Y;Right Pelvis Z;Right Pelvis Q0;Right Pelvis Q1;Right Pelvis Q2;Right Pelvis Q3
3,974183658;53,52089501;78,04674539;117,2229861;-6,059453148;-1,618481653;6,214993736;59,2110872;78,69612529;-3,046617221;0,731523976;47,31495857;74,37899446;108,1044817;-4,493297411;-5,983054446;5,495772623;60,82009721;82,20173202;-0,112885305;-0,109020468;-0,25581807;0,346357399;0,700573627;0,109474293;-0,144247828;0,676818277
3,958718876;53,53441546;78,12062738;117,2179088;-6,05509951;-1,622175732;6,217783547;59,18227536;78,67983228;-3,047731102;0,74829222;47,32069814;74,39725813;108,0956169;-4,49466561;-5,98866096;5,504846046;60,79061447;82,18822928;-0,115122789;-0,109017597;-0,255806155;0,346407561;0,700563731;0,109630212;-0,144335323;0,676807639
3,941335863;53,54129804;78,13776893;117,2078115;-6,056427394;-1,624985128;6,224929874;59,1606071;78,6674201;-3,051836981;0,743557684;47,3352843;74,40004664;108,0921279;-4,501430798;-5,986735721;5,508336354;60,76488778;82,18256007;-0,091608267;-0,109036474;-0,255801419;0,346444898;0,700609952;0,109712719;-0,144425019;0,676743328
3,922064982;53,54114239;78,15861903;117,2114801;-6,061859773;-1,626839351;6,224564241;59,1287295;78,64772005;-3,055751719;0,739679517;47,35151669;74,405473;108,0917509;-4,5154194;-5,985094881;5,510699896;60,72751155;82,17342165;-0,051231092;-0,10903964;-0,255804026;0,346485761;0,700602674;0,109835204;-0,144533208;0,67672462
3,92827794;53,5375248;78,17671864;117,226358;-6,070836706;-1,624716333;6,221389327;59,09248663;78,63699073;-3,051417751;0,726769375;47,36274166;74,40945962;108,0923937;-4,535513543;-5,981927808;5,507268056;60,68459543;82,16956592;0,007144338;-0,109034552;-0,255806212;0,34652397;0,700571937;0,109983983;-0,144667986;0,676686162
3,933158361;53,53796941;78,17976409;117,2401104;-6,076154143;-1,625680347;6,22663946;59,07636743;78,62920805;-3,052148755;0,734673694;47,36325766;74,41408671;108,0978707;-4,546449149;-5,981414045;5,503034197;60,66803327;82,16525246;0,024328764;-0,109020324;-0,255798617;0,346548436;0,700541404;0,110025531;-0,144721163;0,676694157
3,926125038;53,54451563;78,21037456;117,250669;-6,077105554;-1,627688832;6,234475582;59,07610786;78,62598398;-3,052889567;0,745797651;47,37208441;74,42610919;108,0923375;-4,552139883;-5,981608052;5,504191794;60,66649178;82,16302534;0,02413313;-0,108996389;-0,255799295;0,346548278;0,700534938;0,110055188;-0,144705335;0,676692484
3,912310096;53,54781067;78,24096372;117,261831;-6,077353337;-1,627673352;6,236213055;59,07718041;78,62338229;-3,054076946;0,762006564;47,37954658;74,43439818;108,0821487;-4,555276252;-5,981118686;5,504508166;60,66633776;82,16122147;0,023297948;-0,108999884;-0,25579643;0,346527054;0,700531913;0,110081466;-0,144681866;0,676689586
3,886722611;53,54524038;78,25767012;117,2979149;-6,08304283;-1,625506605;6,237456373;59,09835723;78,62183409;-3,06203449;0,753793596;47,38279859;74,44222871;108,0776606;-4,562281105;-5,976555749;5,505136002;60,68848637;82,17356316;0,06562195;-0,109015586;-0,255809105;0,346485709;0,700595977;0,109971908;-0,144604339;0,676609123
3,877553707;53,54151071;78,27212756;117,3362562;-6,084095174;-1,623395313;6,235560522;59,11573616;78,6220379;-3,068172051;0,759524641;47,38225504;74,45184736;108,0813882;-4,569665834;-5,973453016;5,508167653;60,70496015;82,18109098;0,093895001;-0,109031515;-0,255817756;0,346437021;0,700582118;0,109880332;-0,144537567;0,676608196
